Sample	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84
T004-B1BALCells-PB-miRNA_S1_R1_001	96532.0	96289.0	78189.0	232909.0	60745.0	73414.0	81105.0	65586.0	87862.0	85021.0	82059.0	89442.0	92944.0	92709.0	98931.0	104087.0	113902.0	119466.0	123360.0	142919.0	149811.0	154006.0	165666.0	176150.0	175869.0	182990.0	192164.0	197819.0	204400.0	104380.0	30.0	12.0	9.0	43.0	22.0	6.0	10.0	22263497.0
T004-B2BCGBAL-PB-miRNA_S11_R1_001	49709.0	57160.0	76709.0	158081.0	120513.0	149986.0	178973.0	217179.0	277736.0	290292.0	318235.0	379623.0	353941.0	371276.0	395131.0	416435.0	445560.0	457492.0	469511.0	522749.0	536638.0	552327.0	571776.0	598491.0	605783.0	622793.0	635911.0	636442.0	641767.0	329347.0	66.0	16.0	32.0	79.0	34.0	3.0	35.0	39378406.0
T004-B2PPDBAL-PB-miRNA_S10_R1_001	62832.0	55808.0	48716.0	163642.0	41455.0	51614.0	64102.0	55935.0	74868.0	73212.0	71141.0	76903.0	80936.0	86336.0	93078.0	99984.0	108191.0	113028.0	116447.0	129229.0	137916.0	147348.0	156220.0	165371.0	171658.0	183391.0	192003.0	197271.0	202013.0	103963.0	20.0	13.0	14.0	48.0	20.0	2.0	21.0	21404357.0
T004-B2SalBAL-PB-miRNA_S9_R1_001	83142.0	73994.0	78205.0	210674.0	73431.0	81503.0	89060.0	82407.0	110876.0	96725.0	99311.0	126207.0	85790.0	80066.0	79504.0	76044.0	78497.0	78318.0	77536.0	95055.0	95607.0	102957.0	110720.0	112577.0	108683.0	112398.0	116604.0	123257.0	128231.0	68525.0	26.0	6.0	10.0	39.0	22.0	1.0	18.0	19167237.0
T006-B1BALCells-PBmiRNA_S2_R1_001	126390.0	92864.0	90312.0	284010.0	67481.0	72152.0	77039.0	59801.0	79811.0	67568.0	64373.0	75720.0	57410.0	53255.0	54716.0	53096.0	56001.0	57551.0	56574.0	76065.0	74677.0	81684.0	90810.0	92633.0	91169.0	97016.0	103713.0	109357.0	116299.0	61522.0	34.0	7.0	19.0	45.0	16.0	4.0	17.0	22684918.0
T006-B2BCGBAL-PBmiRNA_S13_R1_001	57095.0	56521.0	76732.0	138309.0	77040.0	80141.0	80950.0	100036.0	129060.0	120240.0	131773.0	163423.0	123585.0	117680.0	114710.0	110932.0	117468.0	114813.0	121881.0	177646.0	157665.0	158767.0	190315.0	193569.0	167346.0	163832.0	167505.0	178680.0	179977.0	95375.0	31.0	10.0	15.0	46.0	31.0	6.0	22.0	24068111.0
T006-B2PPDBAL-PLmiRNA_S15_R1_001	111879.0	106990.0	143677.0	262284.0	175990.0	196940.0	215367.0	264048.0	346006.0	331837.0	366296.0	466961.0	343694.0	344832.0	348300.0	346940.0	360073.0	360947.0	364523.0	425736.0	423162.0	436497.0	448010.0	453351.0	440387.0	452282.0	454549.0	465876.0	463464.0	243148.0	56.0	20.0	31.0	63.0	33.0	7.0	25.0	30451683.0
T006-B2SalBAL-PBmiRNA_S12_R1_001	29337.0	27028.0	32893.0	74627.0	36156.0	41319.0	45737.0	51499.0	71786.0	65040.0	72778.0	100418.0	65900.0	64187.0	66197.0	65259.0	68603.0	70095.0	71600.0	90564.0	91069.0	101270.0	110043.0	111463.0	110130.0	115008.0	119532.0	128368.0	131458.0	70554.0	41.0	9.0	14.0	40.0	19.0	2.0	19.0	22758146.0
T006-B2TSTBAL-PBmiRNA_S14_R1_001	49762.0	57693.0	89505.0	154257.0	134092.0	154196.0	177570.0	216064.0	268753.0	279387.0	296747.0	333451.0	317032.0	319596.0	325779.0	329407.0	345667.0	345766.0	352743.0	414360.0	401106.0	405677.0	425677.0	431274.0	420255.0	430314.0	436860.0	439092.0	441176.0	227261.0	44.0	21.0	21.0	46.0	32.0	3.0	32.0	30985287.0
T007-B1BALCells-PBmiRNA1_S26_R1_001	53477.0	59080.0	91178.0	156643.0	131707.0	150513.0	174033.0	207807.0	261421.0	262865.0	276642.0	317600.0	283435.0	285804.0	290105.0	297502.0	309313.0	304163.0	305128.0	346524.0	339177.0	345285.0	353717.0	360483.0	348197.0	357292.0	361265.0	363826.0	358337.0	185049.0	40.0	14.0	21.0	70.0	23.0	11.0	29.0	28292280.0
T007-B1BALCells-PLmiRNA2_S27_R1_001	42486.0	41141.0	54215.0	102889.0	61046.0	64570.0	69870.0	92875.0	145620.0	129998.0	138953.0	208995.0	121310.0	116223.0	111969.0	108315.0	113657.0	116968.0	117564.0	172816.0	150011.0	153659.0	159411.0	156876.0	143326.0	145036.0	144877.0	149068.0	157858.0	86352.0	30.0	18.0	13.0	40.0	29.0	3.0	26.0	21949136.0
T007-B2BCGBAL-PBmiRNA1_S2_R1_001	34360.0	34261.0	44119.0	93726.0	49938.0	54329.0	60931.0	72272.0	106876.0	93468.0	104988.0	158996.0	94590.0	91303.0	90928.0	90294.0	94359.0	96698.0	98852.0	130991.0	124642.0	137046.0	147140.0	145677.0	141328.0	148387.0	153426.0	161756.0	168664.0	91067.0	211.0	87.0	219.0	133.0	205.0	85.0	200.0	25043779.0
T007-B2BCGBAL-PLmiRNA2_S3_R1_001	32524.0	33147.0	49169.0	83965.0	58557.0	63255.0	67836.0	81609.0	106665.0	106505.0	110207.0	132713.0	107466.0	104586.0	104793.0	103687.0	108580.0	109179.0	111897.0	150334.0	140744.0	140185.0	151164.0	151508.0	146138.0	151946.0	156236.0	161719.0	167782.0	89998.0	213.0	78.0	230.0	140.0	180.0	111.0	198.0	25922400.0
T007-B2PPDBAL-PBmiRNA_S1_R1_001	19113.0	19423.0	30715.0	51493.0	38004.0	42409.0	47430.0	58918.0	76630.0	84131.0	85315.0	100052.0	98112.0	98985.0	102692.0	104581.0	112796.0	120108.0	125202.0	163416.0	158261.0	162601.0	172844.0	179055.0	177806.0	189163.0	195581.0	202955.0	210036.0	111817.0	253.0	102.0	272.0	144.0	241.0	124.0	233.0	29292471.0
T007-B2SalBAL-PBmiRNA_S29_R1_001	43128.0	47607.0	66836.0	117850.0	81805.0	90453.0	102677.0	125410.0	175690.0	169978.0	183512.0	244086.0	186765.0	182857.0	186715.0	189622.0	200611.0	204769.0	211994.0	262724.0	255414.0	266158.0	277352.0	284115.0	275479.0	287323.0	293061.0	305446.0	309868.0	164924.0	49.0	14.0	14.0	49.0	29.0	4.0	31.0	31140426.0
T009-B1BALCells-PBmiRNA_S25_R1_001	53256.0	50438.0	64901.0	134904.0	82128.0	90648.0	101469.0	108725.0	128491.0	128332.0	126904.0	133239.0	118372.0	110453.0	108622.0	105068.0	104184.0	100357.0	94303.0	100505.0	100895.0	101082.0	103571.0	107547.0	106184.0	113036.0	114624.0	117956.0	118330.0	62493.0	35.0	5.0	10.0	40.0	21.0	0.0	10.0	20086481.0
T009-B2BCGBAL-PBmiRNA_S7_R1_001	38957.0	40439.0	63963.0	127061.0	93325.0	114632.0	119128.0	138214.0	171112.0	178095.0	184637.0	196334.0	186630.0	178848.0	181897.0	172948.0	172411.0	170776.0	166600.0	202739.0	186924.0	186073.0	200472.0	200790.0	196325.0	206262.0	211419.0	213224.0	212861.0	113521.0	43.0	10.0	15.0	37.0	23.0	3.0	21.0	24171342.0
T009-B2PPDBAL-PBmiRNA_S28_R1_001	45277.0	50879.0	77620.0	127745.0	101833.0	112728.0	124252.0	148105.0	183594.0	192261.0	202614.0	235955.0	224929.0	225645.0	238417.0	240681.0	255519.0	260591.0	275537.0	338317.0	325230.0	325251.0	336468.0	353260.0	348301.0	365810.0	372050.0	384410.0	381346.0	200082.0	55.0	15.0	36.0	97.0	26.0	11.0	35.0	35876164.0
T009-B2SalBAL-PBmiRNA_S6_R1_001	134744.0	92155.0	115410.0	333611.0	85046.0	80933.0	73029.0	63762.0	75180.0	71024.0	68892.0	75358.0	66537.0	64162.0	66585.0	66081.0	70365.0	70897.0	73779.0	86503.0	88892.0	97853.0	106834.0	108483.0	107692.0	114860.0	120175.0	126992.0	131122.0	69452.0	25.0	7.0	10.0	48.0	19.0	2.0	16.0	21792478.0
T010-B1BALRNA-PBmiRNA_S9_R1_001	33079.0	33707.0	43394.0	89095.0	51413.0	57958.0	64461.0	74627.0	99817.0	94957.0	104626.0	143004.0	101048.0	100677.0	102298.0	103171.0	108006.0	110454.0	113587.0	137306.0	139866.0	149040.0	158754.0	166016.0	166458.0	175459.0	181235.0	192275.0	194196.0	103180.0	212.0	79.0	196.0	169.0	228.0	120.0	222.0	26149087.0
T011-B1BALCells-PBmiRNA_S4_R1_001	140095.0	110740.0	107700.0	270557.0	89079.0	90340.0	98672.0	91399.0	127413.0	108745.0	111822.0	157093.0	96318.0	88305.0	87101.0	81353.0	83681.0	85094.0	82414.0	110253.0	108101.0	122356.0	127291.0	123225.0	119880.0	124286.0	129485.0	137804.0	141744.0	77631.0	32.0	11.0	12.0	36.0	19.0	4.0	24.0	24215150.0
T011-B2BCGBAL-PBmiRNA_S22_R1_001	50594.0	47027.0	60425.0	131214.0	71070.0	76849.0	82504.0	95650.0	127653.0	115462.0	125604.0	164913.0	109255.0	105367.0	106298.0	102235.0	103350.0	102906.0	102368.0	120687.0	119797.0	128800.0	133373.0	133777.0	131531.0	137693.0	139194.0	144385.0	147917.0	79416.0	43.0	15.0	17.0	46.0	27.0	7.0	27.0	23458498.0
