Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
T004-B1BALCells-PB-miRNA_S1_R1_001 - illumina_universal_adapter	0.000115454087662	0.00021166582738	0.000338665323807	0.000827420961575	0.00206662816914	0.00452580023633	0.00724666823556	0.00862826881791	0.00940565967483	0.0103908678895	0.0113722276347	0.0125652532072	0.0136582185704	0.0153515451894	0.0160981482896	0.0166330855624	0.0182032611546	0.0194694076493	0.0198696484866	0.0204238281073	0.0220940639088	0.0235718762309	0.024507054341	0.0249303859957	0.0253460207113	0.025854018697	0.02648131924	0.027285649384	0.028193888207	0.0288712188546	0.0296986398162	0.0305068184298	0.0312842092867	0.0320962363699	0.0328928695748	0.0338280476848	0.0345631053763	0.0352789207198	0.0361409779077	0.0370145805043	0.0378420014659	0.0386809678362	0.039516085737	0.0405782633435	0.0415827139061	0.0426333461038	0.0437378568758	0.0448770038741	0.0460815748553	0.0473746606371	0.0487639581587	0.0502263766024	0.0519350970998	0.0549138125614	0.0585506163228	0.0637537472067	0.0698266322177	0.0761958493871	0.0828613987147	0.0896154628429	0.0967890101563	0.103735497764	0.111055286922	0.118844589369	0.126783982131	0.134434739673	0.142447253357	0.150952371148	0.160319546127	0.597436418953	1.01987522877	1.44868710422	1.88522670661
T004-B2BCGBAL-PB-miRNA_S11_R1_001 - illumina_universal_adapter	1.96787495304e-05	3.14859992486e-05	6.88756233564e-05	0.00017514087082	0.00044670761434	0.00089341522868	0.00127911871948	0.0015546212129	0.00175337658316	0.00197968220276	0.00215679094853	0.00244213281672	0.00267040631127	0.00296558755423	0.0031387605501	0.00332964442054	0.00376848053507	0.00405775815317	0.00430964614716	0.00462844188955	0.00525225824966	0.00577768086212	0.00620470972693	0.00659238109268	0.00704302445693	0.00761567606826	0.00819619917941	0.00892234503708	0.00960519764578	0.0103766046274	0.0112424696067	0.012027651713	0.0129781353153	0.0139148437929	0.0148318735211	0.0158551684966	0.0168548489728	0.0179411159469	0.0189171819236	0.020029031272	0.0212156598687	0.0224042563404	0.0236184351864	0.0249290399051	0.0262711306231	0.0276643860898	0.0291088063054	0.0305335477714	0.0322908601044	0.0338651600669	0.0358428743947	0.0376789017258	0.0403001111633	0.0441591139462	0.0492775566991	0.0563068060313	0.0650540101976	0.0746493684686	0.0845320364827	0.0939679968826	0.104037613017	0.114060000153	0.124334275283	0.134602646788	0.144731299171	0.155224008421	0.165895794291	0.177203203771	0.189354831606	0.870361573605	1.53330322353	2.20028492074	2.87409317616
T004-B2PPDBAL-PB-miRNA_S10_R1_001 - illumina_universal_adapter	9.30078103107e-05	0.000153665077905	0.000234541434696	0.000578265951062	0.00136681042978	0.00304499483321	0.00457760179442	0.00556024952944	0.00599293803828	0.00670464997805	0.00729504738263	0.00819277494302	0.00878721616544	0.0097334695399	0.0101216760525	0.0104006994834	0.0116704582851	0.0125439229384	0.0128916912726	0.0132879854209	0.0145375251333	0.0155525234111	0.01628445444	0.0169678596549	0.0176108266914	0.0182740128171	0.0193092301841	0.020469805904	0.0215009794531	0.0226089855412	0.0238059556217	0.0247198584534	0.0258723465377	0.0270329222577	0.0281004901673	0.0292287153446	0.0303165023434	0.0314730342456	0.0324920763411	0.0337577913249	0.0350356377622	0.0363134841996	0.037765214804	0.0391239375981	0.0405797120203	0.0421931953383	0.0437783719314	0.0452705407142	0.0469689442069	0.0487077858779	0.0506447746231	0.0525696319147	0.0550444484325	0.0584776497784	0.062950112309	0.0691331097857	0.0768446704058	0.0846088006578	0.092898627229	0.101208672889	0.109979713783	0.119264319543	0.128168806426	0.137873969241	0.1473850288	0.157482441945	0.167523241641	0.178126132016	0.189998781193	0.636302824696	1.08439019187	1.54525197959	2.00937308449
T004-B2SalBAL-PB-miRNA_S9_R1_001 - illumina_universal_adapter	0.000104057034475	0.000176444536718	0.000285025790084	0.000651487520191	0.00155180707934	0.00337959151099	0.00524809391265	0.00623889784961	0.00682704630534	0.00736542835327	0.00782237446118	0.00839242604135	0.00885389636815	0.00939680263498	0.00976326436508	0.0101342503141	0.0113105472255	0.0119620347457	0.0124235050725	0.0129573629016	0.0141110387186	0.0152285207845	0.0158302418969	0.0162690911292	0.0166626981727	0.017182983345	0.0176896958607	0.0184769099476	0.0191917365323	0.0199337084303	0.0205806717316	0.0214583701963	0.022336068661	0.0230101772756	0.0236797616714	0.0245348390416	0.0252406171885	0.0259735406487	0.0266747945767	0.027443911788	0.0281180204027	0.0287830805796	0.0295295766964	0.0303167907833	0.0310859079947	0.0319274127083	0.0327010541385	0.033461122912	0.0342935791878	0.0353024800004	0.0363204292506	0.0373112331876	0.0386232566658	0.040921559862	0.0439437380807	0.0481557858675	0.0531459993034	0.0578240416358	0.0625654230328	0.0675737333443	0.0727992061625	0.0781106391396	0.0832139580477	0.0887696988449	0.0945652232433	0.100333602328	0.106129126727	0.112739010525	0.119832985745	0.471170252103	0.788489916625	1.10122202319	1.42413814648
T006-B1BALCells-PBmiRNA_S2_R1_001 - illumina_universal_adapter	0.000245776908538	0.000364701219121	0.000602549840287	0.00110996023211	0.00227938261951	0.00469751026802	0.00827316787288	0.0100808173937	0.0108577895562	0.0114960166897	0.0120946023863	0.0127486860945	0.0132124909058	0.0139300009129	0.0142788455573	0.014750578656	0.0162965946935	0.0171449214424	0.0174898019431	0.0180883876397	0.0193688060503	0.0206056188803	0.0213350213186	0.0216997225377	0.0220723520442	0.0225480492865	0.0232338461442	0.0239751410135	0.0246847227333	0.0255053004763	0.0261038861729	0.0268174320364	0.0274120535894	0.0282326313324	0.0287479700116	0.0294416951566	0.0298698226747	0.0304248027908	0.0309322131826	0.0314713367239	0.0319153208168	0.0324663367891	0.0329737471809	0.0335406197281	0.0341629902868	0.0347932891329	0.035372054111	0.0358953210776	0.0365375123547	0.0373977315346	0.0380597435302	0.0387732893937	0.0397326121657	0.0413816959392	0.0435619749665	0.0465628317369	0.0499918160254	0.0536467565039	0.057396836431	0.0610438486222	0.0650000640209	0.0689761001381	0.0731146661464	0.077526758069	0.0821212006012	0.0866284319723	0.0912783725161	0.0964832931759	0.101684249692	0.379328909323	0.635353129289	0.891139500634	1.15358959752
T006-B2BCGBAL-PBmiRNA_S13_R1_001 - illumina_universal_adapter	3.58020800865e-05	5.37031201298e-05	7.16041601731e-05	0.00018617081645	0.000383082256926	0.000784065553895	0.0014464040355	0.0018223258764	0.00199775606883	0.00217676646926	0.00234503624567	0.00253478727013	0.00271737787857	0.0029357705671	0.00317564450368	0.00349428301645	0.00410291837792	0.00441081626666	0.0047151339474	0.00511969745237	0.00559944532553	0.00622956193506	0.00655894107185	0.00690622124869	0.00723560038549	0.00760436181038	0.00805546801947	0.00864978254891	0.00913311063007	0.00971668453548	0.0102537157368	0.0109267948424	0.0117001197723	0.0123481374218	0.0129066498712	0.0135797289768	0.0141955247543	0.0148077403238	0.0153519319411	0.0159820485506	0.016562042248	0.0171742578175	0.0178186952591	0.0184273306205	0.0189894232779	0.0196553419675	0.0203570627372	0.021108906419	0.0219609959251	0.02317468644	0.0240661582342	0.0250865175166	0.0263252694876	0.0287490703095	0.0322326127019	0.0377640340753	0.0441726064108	0.050491673546	0.0562916105201	0.0616905641971	0.0673759345148	0.0726818027837	0.0780950772928	0.0837553861544	0.0900314907936	0.0959101923438	0.102164815735	0.108884866167	0.116188490505	0.520988289211	0.867967728578	1.19714279352	1.54394680269
T006-B2PPDBAL-PLmiRNA_S15_R1_001 - illumina_universal_adapter	6.89384105225e-05	0.000120642218414	0.000211739403748	0.000315147019532	0.000630294039063	0.00130982979993	0.00312192516223	0.00402304867121	0.00432588526029	0.00456963178321	0.00474936406778	0.00497095181589	0.00522947085535	0.00552492118616	0.0058376061196	0.00621430529139	0.00687906853571	0.00723114684659	0.00754875595222	0.00796484850144	0.00873548144764	0.00945687267204	0.00992713111524	0.0104072379028	0.0110178352532	0.0116678259809	0.0123350513114	0.0132731061117	0.0141594571041	0.0150778152157	0.0160035595856	0.0170573324321	0.0183720864043	0.0195809706745	0.0205534946801	0.0217303718311	0.022764447989	0.0239043938487	0.0250123325892	0.0262113685151	0.0273685489774	0.0285626607311	0.0297666208292	0.031019822649	0.0324059771178	0.0337601244673	0.035116733903	0.0365176608882	0.0380638509528	0.0398390150237	0.0416535724721	0.0435838479668	0.0460582444873	0.0502437908405	0.055886892159	0.0628915270853	0.0719372313803	0.0811749783903	0.0902108343409	0.0991408205897	0.108957157831	0.118426340933	0.128092490923	0.137876821045	0.148133871696	0.158166872513	0.168325439721	0.1789493412	0.190796899465	0.837973462848	1.4324441493	2.02189218013	2.62355462005
T006-B2SalBAL-PBmiRNA_S12_R1_001 - illumina_universal_adapter	2.79349584775e-05	5.1879208601e-05	7.98141670785e-05	0.000179581875927	0.000367145168561	0.000838048754324	0.0013767943821	0.0017239860089	0.00189159575976	0.00207117763569	0.00223080596984	0.00235850863717	0.00250616484627	0.00272166309738	0.0028493657647	0.00302894764063	0.00352778618487	0.00373929372763	0.00395479197874	0.00422616014681	0.00459729602372	0.00497242260899	0.00527172573554	0.00553511248689	0.00573065719624	0.00601399748937	0.00631330061591	0.00674030640978	0.00708350732822	0.0075264759555	0.00802132379139	0.00848424596045	0.00904294512999	0.00954976509094	0.00994883592634	0.0103718510119	0.0108627081394	0.0113455838502	0.0117845617691	0.0122514746466	0.0127742574409	0.0133329566105	0.0138597301132	0.014410447866	0.0149531842022	0.0155198647884	0.0160027404992	0.0166492352526	0.0173436185062	0.0182135929273	0.0189239390143	0.0196821736016	0.0207955812323	0.0225834185749	0.0253409980474	0.0288049328986	0.0332386098798	0.0375765098606	0.0422695828848	0.0468549067834	0.0516836638917	0.0563567833741	0.0614209922753	0.0667485879278	0.0723754867068	0.077711063776	0.083405804597	0.0894676905867	0.0961561177878	0.406074528554	0.699331731942	0.994612224466	1.29628982248
T006-B2TSTBAL-PBmiRNA_S14_R1_001 - illumina_universal_adapter	2.49962474384e-05	3.49947464137e-05	6.99894928274e-05	0.000132480111423	0.000304954218748	0.00063240506019	0.00120231950178	0.00151227297002	0.00164975233093	0.00177973281761	0.00187471855788	0.00198470204661	0.00210218440957	0.00226466001791	0.00245463149845	0.00269459547385	0.00305454143697	0.00325951066596	0.00353446938778	0.00378693148691	0.00430185418414	0.00476678438649	0.005171723595	0.00564665229632	0.0060615900038	0.0066090078227	0.00725391100661	0.0079488066854	0.00872618998073	0.00939858903682	0.0102484614497	0.0111833211039	0.0121756721272	0.0131080321567	0.0140053974397	0.0150477409579	0.0160200949832	0.0169899493838	0.0180147955288	0.0190971330429	0.0201119806889	0.0213192994402	0.0224266332017	0.0235589632106	0.0248387710795	0.0260110950844	0.0272909029532	0.0285507138241	0.0301304766622	0.0317452342467	0.0333874877034	0.035069735156	0.0373193974255	0.0410088435474	0.0463780374971	0.0534544751469	0.0621181745091	0.0712942969437	0.0801179722894	0.0890941247445	0.0984552194102	0.107368881247	0.116812463529	0.126588495902	0.136417020395	0.146508005486	0.156461511216	0.167032424257	0.178493203708	0.794155777364	1.36795713544	1.9386664577	2.52626324473
T007-B1BALCells-PBmiRNA1_S26_R1_001 - illumina_universal_adapter	4.41622281787e-05	5.79629244846e-05	9.6604874141e-05	0.00016560835567	0.000287054483162	0.000510625763317	0.000938447348798	0.00117029904674	0.00128070461718	0.00140491088394	0.00150979617586	0.0016422828604	0.00174716815232	0.00193485762208	0.00215290862371	0.002409601575	0.00294782873093	0.00322384265705	0.00345569435499	0.00384487399081	0.00429753682964	0.00478608147887	0.00520010236804	0.00561964353574	0.00611370846349	0.00671265868317	0.00737509210585	0.00823625555533	0.00905877705516	0.00995582231504	0.0108611479927	0.0118492778482	0.0129919755023	0.0140960312068	0.0152111274683	0.0163648656795	0.0173943976239	0.0185564162528	0.0196687523751	0.02088321365	0.021992789633	0.0231934502116	0.0243720296761	0.0258128223705	0.0270769661521	0.0285370798212	0.0299751123763	0.0313579421462	0.0329257012465	0.034590065221	0.0363675949052	0.0378994721951	0.0403007933523	0.0443416372307	0.0495665808521	0.0568119464127	0.0657492773403	0.0748108145348	0.0839137538181	0.0933037475846	0.102986316113	0.112232782638	0.121738702253	0.131506835098	0.141727630783	0.151597888781	0.161818684465	0.172188527669	0.183543740589	0.740211386921	1.25745596419	1.7675821423	2.28174088387
